Issue URL,Fix URL,Ecosystem,Symptom,Root cause,Operating System/Platform,OS Sensitivity,Supported OSs/Platforms,System state,System State Observations,Test Input,Oracle,Component
https://github.com/voxpupuli/puppet-redis/issues/425,https://github.com/voxpupuli/puppet-redis/pull/427,Puppet,Misconfiguration,Bugs related to hardcoded values,Independent,Insensitive,RedHat;Ubuntu;Debian;CentOS,State agnostic,,,Examining file system state,Configuration
https://github.com/sous-chefs/php/issues/311,https://github.com/sous-chefs/php/pull/312,Chef,Misconfiguration,Compatibility issue with the OS/platform,Ubuntu,Ubuntu (version),Ubuntu;Debian;CentOS,State agnostic,,,Examing installed packages,Configuration
https://github.com/chef-boneyard/habitat/issues/106,https://github.com/chef-boneyard/habitat/pull/122,Chef,External configuration failure,Compatibility issue with dependency,Independent,Insensitive,All,State agnostic,,args (Chef Habitat);port;ip,Valid configuration fails,Code
https://github.com/sous-chefs/samba/issues/48,https://github.com/sous-chefs/samba/pull/49,Chef,Misconfiguration,Template bugs,Independent,Insensitive,Ubuntu;Debian;CentOS;Linux,State agnostic,,,Service does not work properly,Configuration
https://github.com/sous-chefs/java/issues/645,https://github.com/sous-chefs/java/pull/646,Chef,Internal error (crash),Incorrect identification of current system state,Independent,Insensitive,Ubuntu;Debian;CentOS;RedHat;Fedora;Amazon Linux,State agnostic,,package;version (openjdk),Valid configuration fails,Code
https://github.com/DataDog/chef-datadog/issues/338,https://github.com/DataDog/chef-datadog/pull/396,Chef,Internal error (crash),Dependency bugs,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Configuration
https://github.com/mattray/managed_chef_server-cookbook/issues/35,https://github.com/mattray/managed_chef_server-cookbook/commit/ffcd2d47d31626df288e7c3d0ddf96fe4f443f5d,Chef,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,All,Managed state,file,file,Valid configuration fails,Code
https://github.com/sous-chefs/docker/issues/427,https://github.com/sous-chefs/docker/pull/439,Chef,Misconfiguration,Incorrect conversion/serialization of user input,Independent,Insensitive,Debian;Ubuntu;CentOS;Fedora,State agnostic,,port;docker;args (container),Other/Domain-specific oracle,Code
https://github.com/poise/poise-python/issues/9,https://github.com/poise/poise-python/commit/ce2a362f8bcb8755a0d26cd75526c72d878a3536,Chef,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,All,Unmanaged state,package (virtualenv); file,package;args (pip);URI;CLI options,Valid configuration fails,Code
https://github.com/sous-chefs/homebrew/issues/85,https://github.com/sous-chefs/homebrew/pull/86,Chef,Misconfiguration,Incorrect command construction/execution,MacOS,Insensitive,MacOS,State agnostic,,file;package,Examining file system state,Code
https://github.com/sensu/sensu-chef/issues/507,https://github.com/sensu/sensu-chef/pull/508,Chef,External configuration failure,Compatibility issue with the OS/platform,CentOS/RedHat,CentOS/RedHat,Debian;Ubuntu;Windows;Fedora,State agnostic,,package,Valid configuration fails,Configuration
https://github.com/sous-chefs/firewall/issues/131,https://github.com/sous-chefs/firewall/commit/ca7e1d62bf980752f851e3a7edbfe2b99172130c,Chef,External configuration failure,Compatibility issue with the OS/platform,CentOS/RedHat,CentOS/RedHat (version),All,State agnostic,,command;args (firewall);network,Valid configuration fails,Code
https://github.com/sous-chefs/vagrant/issues/42,https://github.com/sous-chefs/vagrant/pull/51,Chef,Internal error (crash),Compatibility issue with the OS/platform,Windows,Windows,All,State agnostic,,,Valid configuration fails,Code
https://github.com/chef-boneyard/windows/issues/521,https://github.com/chef-boneyard/windows/pull/522,Chef,Internal error (crash),Incorrect conversion/serialization of user input,Windows,Windows,Windows,Unmanaged state,host,IP;ip,Valid configuration fails,Code
https://github.com/sous-chefs/chef-splunk/issues/130,https://github.com/sous-chefs/chef-splunk/pull/131,Chef,Idempotency issue,Incorrect command construction/execution,Independent,Insensitive,Debian;Ubuntu;CentOS;RedHat,Unmanaged state,service (splunk),,Task execution mismatch,Code
https://github.com/dhoer/chef-selenium/issues/16,https://github.com/dhoer/chef-selenium/commit/eea22e6ca42e3c1f396142ca1bb87e18d3acd3c2,Chef,Internal error (crash),Compatibility issue with the OS/platform,CentOS/RedHat,CentOS/RedHat,All,State agnostic,,,Valid configuration fails,Configuration
https://github.com/criteo-cookbooks/nexus3/issues/51,https://github.com/criteo-cookbooks/nexus3/pull/52,Chef,Internal error (crash),Resilience bugs,Independent,Insensitive,All,Unmanaged state,package (java),port;ip;version (jdk);IP,Valid configuration fails,Code
https://github.com/zuazo/dovecot-cookbook/issues/15,https://github.com/zuazo/dovecot-cookbook/commit/ff84efa5f66472c3f815ceda39885765d6b695b9,Chef,External configuration failure,Compatibility issue with the OS/platform,Debian,Debian (version),Amazon Linux;Debian;Fedora;Ubuntu;CentOS,Managed state,service (dovecot),,Valid configuration fails,Configuration
https://github.com/nathwill/chef-systemd/issues/117,https://github.com/nathwill/chef-systemd/pull/118,Chef,Internal error (crash),API inconsistency bugs,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Code
https://github.com/sous-chefs/docker/issues/494,https://github.com/sous-chefs/docker/pull/495,Chef,Misconfiguration,Incorrect command construction/execution,Independent,Insensitive,Amazon Linux;Debian;Fedora;Ubuntu;CentOS,State agnostic,,args (docker cli),Other/Domain-specific oracle,Code
https://github.com/sous-chefs/cron/issues/80,https://github.com/sous-chefs/cron/pull/92,Chef,Misleading report,Compatibility issue with dependency,Independent,Insensitive,Solaris;Debian;RedHat;FreeBSD,Unmanaged state,IaC (version),file;args (file attributes),Improprer diagnostic message,Code
https://github.com/ansible-collections/community.general/issues/791,https://github.com/ansible-collections/community.general/pull/1105,Ansible,Internal error (crash),Compatibility issue with dependency,Solaris,Solaris,All,Unmanaged state,IaC (version),file,Valid configuration fails,Code
https://github.com/ansible-collections/community.hrobot/issues/32,https://github.com/ansible-collections/community.hrobot/pull/33,Ansible,Internal error (crash),Incorrect identification of current system state,Hetzner (cloud),Insensitive,All,Unmanaged state,file (ssh conf); host (cloud),auth;filepath;SSH key;args (hcloud),Valid configuration fails,Code
https://github.com/ansible-collections/junipernetworks.junos/issues/312,https://github.com/ansible-collections/junipernetworks.junos/pull/339,Ansible,Internal error (crash),Incorrect data type,Junos (device),Insensitive,Junos (device),Unmanaged state,"file (syslog conf, content)",filesize (string/numeric);port;args (syslog);host;IP;glob,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/3671,https://github.com/ansible-collections/community.general/pull/3889,Ansible,External configuration failure,Incorrect command construction/execution,Illumos,Illumos,All,State agnostic,,command;args (ansible cli),Valid configuration fails,Code
https://github.com/ansible-collections/ansible.posix/issues/210,https://github.com/ansible-collections/ansible.posix/pull/211,Ansible,Misconfiguration,Incorrect identification of current system state,Independent,Insensitive,Ubuntu;Debian;Linux,Unmanaged state,"file (fstab, content)",file;filepath;fstype;args (mount),Examining file system state,Code
https://github.com/containers/ansible-podman-collections/issues/25,https://github.com/containers/ansible-podman-collections/pull/42,Ansible,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,All,Unmanaged state,service (podman),args (buildah);command,Valid configuration fails,Code
https://github.com/ansible-collections/azure/issues/871,https://github.com/ansible-collections/azure/pull/872,Ansible,Internal error (crash),Incorrect identification of current system state,Independent,Insensitive,All,Unmanaged state,host (Azure),auth;args (azure);hostname,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/561,https://github.com/ansible-collections/community.general/pull/563,Ansible,Misleading report,Incorrect identification of system state deviations,Independent,Insensitive,All,State agnostic,,file;args (terraform),Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/1776,https://github.com/ansible-collections/community.general/pull/1794,Ansible,Misconfiguration,Incorrect command construction/execution,Independent,Insensitive,All,State agnostic,,file;args (git_config);filepath,Task execution mismatch,Code
https://github.com/ansible-collections/community.general/issues/440,https://github.com/ansible-collections/community.general/pull/1491,Ansible,External configuration failure,Compatibility issue with dependency,Independent,Insensitive,All,Unmanaged state,IaC (version),url;args (gitlab);service connection;args (file attributes);token,Valid configuration fails,Code
https://github.com/netbox-community/ansible_modules/issues/231,https://github.com/netbox-community/ansible_modules/pull/233,Ansible,Internal error (crash),Incorrect conversion/serialization of user input,Independent,Insensitive,All,Unmanaged state,service (netbox),url;ip;service connection;IP;interface;token,Valid configuration fails,Code
https://github.com/theforeman/foreman-ansible-modules/issues/847,https://github.com/theforeman/foreman-ansible-modules/pull/921/files,Ansible,Misconfiguration,Incorrect conversion/serialization of user input,Independent,Insensitive,All,Unmanaged state,service (foreman),service connection,Other/Domain-specific oracle,Code
https://github.com/ansible-collections/community.general/issues/109,https://github.com/ansible-collections/community.general/commit/9d1880f29e1c85f7c8023117681297f3a73d1564,Ansible,External configuration failure,Compatibility issue with dependency,Independent,Insensitive,All,Unmanaged state,"service (jira, version)",url;args (Jira API);service connection,Valid configuration fails,Code
https://github.com/ansible-collections/arista.eos/issues/329,https://github.com/ansible-collections/arista.eos/pull/330,Ansible,External configuration failure,Incorrect command construction/execution,Arista EOS,Insensitive,Arista EOS,State agnostic,,args (Arista EOS);network,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/1171,https://github.com/ansible-collections/community.general/pull/4812,Ansible,External configuration failure,Compatibility issue with dependency,Independent,Insensitive,All,State agnostic,,file;url;filepath;cloud;args (aws);auth,Valid configuration fails,Code
https://github.com/ansible-collections/community.mysql/issues/69,https://github.com/ansible-collections/community.mysql/pull/72,Ansible,Idempotency issue,Incorrect identification of system state deviations,Independent,Insensitive,All,Unmanaged state,multiple execution; service (db),IP;args (mysql);db,Task execution mismatch,Code
https://github.com/ansible-collections/community.general/issues/4241,https://github.com/ansible-collections/community.general/pull/4719,Ansible,Internal error (crash),Incorrect data type,Independent,Insensitive,All,Unmanaged state,service (keycloak),url;service connection,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/5661,https://github.com/ansible-collections/community.general/pull/5680,Ansible,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,All,Unmanaged state,"file (locale, content)",package,Valid configuration fails,Code
https://github.com/ansible-collections/community.postgresql/issues/465,https://github.com/ansible-collections/community.postgresql/pull/472,Ansible,External configuration failure,Missing system operations,Independent,Insensitive,All,Managed state,multiple execution; service (db),db,Valid configuration fails,Code
https://github.com/freeipa/ansible-freeipa/issues/66,https://github.com/freeipa/ansible-freeipa/commit/818db5cb4dc5e3b89ba6575bcdf67277c6d2c974,Ansible,Internal error (crash),Compatibility issue with dependency,Independent,Insensitive,All,Unmanaged state,PL (version),,Valid configuration fails,Code
https://github.com/voxpupuli/puppet-python/issues/50,https://github.com/voxpupuli/puppet-python/pull/60,Puppet,External configuration failure,Compatibility issue with the OS/platform,RedHat,RedHat,RedHat;Ubuntu;Debian;Linux;CentOS;FreeBSD,State agnostic,,package,Valid configuration fails,Code
https://github.com/voxpupuli/puppet-mumble/issues/52,https://github.com/voxpupuli/puppet-mumble/pull/53,Puppet,Idempotency issue,Incorrect command construction/execution,Debian,Insensitive,Ubuntu;Debian;Linux,State agnostic,,filepath,Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-rabbitmq/issues/832,https://github.com/voxpupuli/puppet-rabbitmq/pull/833,Puppet,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,RedHat;Ubuntu;Debian;Linux;CentOS;FreeBSD,Managed state,service (rabbitmq),URI;args (rabbitmq),Valid configuration fails,Code
https://github.com/voxpupuli/puppet-rhsm/issues/52,https://github.com/voxpupuli/puppet-rhsm/pull/53,Puppet,Performance issue,Resilience bugs,RedHat,Insensitive,All,Unmanaged state,file (content),package,Non termination/High memory usage,Code
https://github.com/voxpupuli/puppet-logstash/issues/357,https://github.com/voxpupuli/puppet-logstash/pull/362,Puppet,Misconfiguration,Template bugs,Independent,Insensitive,All,State agnostic,,,Service does not work properly,Configuration
https://github.com/puppetlabs/puppetlabs-docker/issues/597,https://github.com/puppetlabs/puppetlabs-docker/pull/740,Puppet,Misconfiguration,Missing system operations,Independent,Insensitive,All,State agnostic,,package,Examing installed packages,Configuration
https://github.com/deric/puppet-zookeeper/issues/10,https://github.com/deric/puppet-zookeeper/commit/c0983a26e3a4387da4ee91468da5d83ca134ee1c,Puppet,Misconfiguration,Missing system operations,Independent,Insensitive,All,State agnostic,,,Examining file system state,Configuration
https://github.com/voxpupuli/puppet-gluster/issues/140,https://github.com/voxpupuli/puppet-gluster/commit/0e0855f05debb94b6a4b3acfaf61c7a09a4b0207,Puppet,Misconfiguration,Compatibility issue with dependency,Independent,Insensitive,RedHat;Ubuntu;Debian;Linux;CentOS,State agnostic,,version (gluster),Other/Domain-specific oracle,Configuration
https://github.com/lelutin/puppet-fail2ban/issues/50,https://github.com/lelutin/puppet-fail2ban/commit/6040e0acd73a66b999734b5c0a683dece6e2424e,Puppet,Internal error (crash),Incorrect validation of user input,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-grafana/issues/104,https://github.com/voxpupuli/puppet-grafana/pull/211,Puppet,Idempotency issue,Incorrect identification of system state deviations,Independent,Insensitive,All,Managed state,multiple execution; service (grafana),service update,Valid configuration fails,Code
https://github.com/saz/puppet-sudo/issues/224,https://github.com/saz/puppet-sudo/pull/225,Puppet,Misconfiguration,Compatibility issue with the OS/platform,RedHat,RedHat (version),All,State agnostic,,,Examining file system state,Configuration
https://github.com/pcfens/puppet-filebeat/issues/257,https://github.com/pcfens/puppet-filebeat/commit/d12905a14cfe02debdafda0af632c69497bd231a,Puppet,External configuration failure,Incorrect data type,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-collectd/issues/1000,https://github.com/voxpupuli/puppet-collectd/pull/1003,Puppet,Internal error (crash),Dependency bugs,Independent,Insensitive,RedHat;Ubuntu;Debian;Linux;CentOS;FreeBSD,Managed state,service (collectd),version (collectd),Valid configuration fails,Configuration
https://github.com/richardc/puppet-datacat/issues/24,https://github.com/richardc/puppet-datacat/pull/26,Puppet,Misleading report,Resilience bugs,Independent,Insensitive,All,Unmanaged state,file (absent),,Improprer diagnostic message,Code
https://github.com/puppetlabs/puppetlabs-powershell/issues/9,https://github.com/puppetlabs/puppetlabs-powershell/pull/10,Puppet,Internal error (crash),Compatibility issue with dependency,Windows,Windows,Windows,Unmanaged state,PL (version),args (poweshell);command,Valid configuration fails,Code
https://github.com/voxpupuli/puppet-openldap/issues/317,https://github.com/voxpupuli/puppet-openldap/pull/318,Puppet,External configuration failure,Incorrect data type,Independent,Insensitive,All,Unmanaged state,IaC (version); service (openldap),URI,Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-autofs/issues/104,https://github.com/voxpupuli/puppet-autofs/pull/119,Puppet,Internal error (crash),API inconsistency bugs,Independent,Insensitive,All,Unmanaged state,file,file;command;filepath;args (mount),Valid configuration fails,Configuration
https://github.com/bodgit/puppet-postfix/issues/25,https://github.com/bodgit/puppet-postfix/pull/26,Puppet,Internal error (crash),Incorrect conversion/serialization of user input,Independent,Insensitive,All,Managed state,service (postfix),shell;args (postfix),Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-jira/issues/241,https://github.com/voxpupuli/puppet-jira/pull/356,Puppet,Misconfiguration,Bugs related to hardcoded values,Independent,Insensitive,RedHat;Ubuntu;Linux;CentOS,Managed state,service (Jira),file;url;version(jira);args (jira);port;filepath;service connection;version(mysql connector),Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-mongodb/issues/525,https://github.com/voxpupuli/puppet-mongodb/pull/561,Puppet,Misconfiguration,Compatibility issue with dependency,Independent,Insensitive,RedHat;Ubuntu;Debian;Linux,Managed state,"multiple execution; package (OS, version); service (db)",auth;args (mongodb);db,Task execution mismatch,Code
https://github.com/sous-chefs/nodejs/issues/67,https://github.com/sous-chefs/nodejs/pull/69,Chef,External configuration failure,Missing system operations,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Code
https://github.com/sous-chefs/consul/issues/574,https://github.com/sous-chefs/consul/pull/575,Chef,External configuration failure,Compatibility issue with the OS/platform,ARM64,Insensitive,CentOS;Ubuntu;Debian;Windiws;RedHat,State agnostic,,,Valid configuration fails,Code
https://github.com/microsoft/macos-cookbook/issues/4,https://github.com/microsoft/macos-cookbook/pull/5,Chef,External configuration failure,Compatibility issue with the OS/platform,MacOS,MacOS (version),MacOS,State agnostic,,package,Valid configuration fails,Code
https://github.com/sous-chefs/network_interfaces/issues/41,https://github.com/sous-chefs/network_interfaces/pull/44,Chef,Misconfiguration,Template bugs,Independent,Insensitive,Debian;Ubuntu,State agnostic,,args (/etc/network/interfaces),Examining file system state,Configuration
https://github.com/chef-boneyard/audit/issues/234,https://github.com/chef-boneyard/audit/commit/f4ac7c77a82e05b0f6fd559a7e1f8c1a4476ad74,Chef,Internal error (crash),Incorrect command construction/execution,Independent,Insensitive,Debian;Ubuntu;CentOS,State agnostic,,operation on service,Valid configuration fails,Code
https://github.com/sous-chefs/golang/issues/54,https://github.com/sous-chefs/golang/pull/55,Chef,External configuration failure,Missing system operations,Independent,Insensitive,Debian;Ubuntu;CentOS;RedHat;Amazon Linux,State agnostic,,,Valid configuration fails,Code
https://github.com/sous-chefs/postgresql/issues/708,https://github.com/sous-chefs/postgresql/commit/6b0194c975a19613ebcd0e6c82f50c9f3b612a1d,Chef,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,All,State agnostic,,version (postgresql),Valid configuration fails,Code
https://github.com/chef-boneyard/windows/issues/424,https://github.com/chef-boneyard/windows/pull/425,Chef,Misconfiguration,Incorrect conversion/serialization of user input,Windows,Windows,Windows,State agnostic,,file;filepath (windows),Valid configuration fails,Code
